asset_code,source_turbine,started_at,ended_at,duration,source_status,severity,source_code,event_code,message,iec_category,external_event_id
PEN-T01,01,2023-02-03T19:46:50.000Z,2023-02-03T19:47:38.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-03T19:46:50.000Z:10
PEN-T01,01,2023-02-03T19:46:50.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-03T19:46:50.000Z:100070
PEN-T01,01,2023-02-03T19:47:38.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T19:47:38.000Z:0
PEN-T01,01,2023-02-03T19:47:38.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T19:47:38.000Z:100130
PEN-T01,01,2023-02-03T19:52:10.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T19:52:10.000Z:100180
PEN-T01,01,2023-02-03T19:53:49.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T19:53:49.000Z:100190
PEN-T01,01,2023-02-03T19:54:00.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T19:54:00.000Z:100200
PEN-T01,01,2023-02-03T19:54:30.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T19:54:30.000Z:100210
PEN-T01,01,2023-02-03T19:54:40.000Z,2023-02-03T19:55:28.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-03T19:54:40.000Z:10
PEN-T01,01,2023-02-03T19:54:40.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-03T19:54:40.000Z:100070
PEN-T01,01,2023-02-03T19:55:28.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T19:55:28.000Z:0
PEN-T01,01,2023-02-03T19:55:28.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T19:55:28.000Z:100130
PEN-T01,01,2023-02-03T20:02:30.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T20:02:30.000Z:100180
PEN-T01,01,2023-02-03T20:04:03.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T20:04:03.000Z:100190
PEN-T01,01,2023-02-03T20:04:15.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T20:04:15.000Z:100200
PEN-T01,01,2023-02-03T20:04:45.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T20:04:45.000Z:100210
PEN-T01,01,2023-02-03T21:38:05.000Z,2023-02-17T21:24:06.000Z,335:46:01,Warning,warning,5000,PEN-5000,"Breakdown obstacle light",Full Performance,01:2023-02-03T21:38:05.000Z:5000
PEN-T01,01,2023-02-03T23:09:21.000Z,2023-02-03T23:10:08.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-03T23:09:21.000Z:10
PEN-T01,01,2023-02-03T23:09:21.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-03T23:09:21.000Z:100070
PEN-T01,01,2023-02-03T23:10:08.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T23:10:08.000Z:100130
PEN-T01,01,2023-02-03T23:25:06.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T23:25:06.000Z:100180
PEN-T01,01,2023-02-03T23:26:32.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T23:26:32.000Z:100190
PEN-T01,01,2023-02-03T23:26:43.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T23:26:43.000Z:100200
PEN-T01,01,2023-02-03T23:27:13.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T23:27:13.000Z:100210
PEN-T01,01,2023-02-03T23:36:48.000Z,2023-02-03T23:37:36.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-03T23:36:48.000Z:10
PEN-T01,01,2023-02-03T23:36:48.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-03T23:36:48.000Z:100070
PEN-T01,01,2023-02-03T23:37:36.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T23:37:36.000Z:100130
PEN-T01,01,2023-02-03T23:46:34.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T23:46:34.000Z:100180
PEN-T01,01,2023-02-03T23:48:12.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T23:48:12.000Z:100190
PEN-T01,01,2023-02-03T23:48:24.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T23:48:24.000Z:100200
PEN-T01,01,2023-02-03T23:48:54.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T23:48:54.000Z:100210
PEN-T01,01,2023-02-05T07:17:02.000Z,2023-02-05T07:17:49.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-05T07:17:02.000Z:10
PEN-T01,01,2023-02-05T07:17:02.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T07:17:02.000Z:100070
PEN-T01,01,2023-02-05T07:17:49.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T07:17:49.000Z:100130
PEN-T01,01,2023-02-05T08:42:44.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T08:42:44.000Z:100180
PEN-T01,01,2023-02-05T08:44:25.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-05T08:44:25.000Z:100190
PEN-T01,01,2023-02-05T08:44:36.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-05T08:44:36.000Z:100200
PEN-T01,01,2023-02-05T08:45:06.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-05T08:45:06.000Z:100210
PEN-T01,01,2023-02-05T08:46:47.000Z,2023-02-05T08:47:35.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-05T08:46:47.000Z:10
PEN-T01,01,2023-02-05T08:46:47.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T08:46:47.000Z:100070
PEN-T01,01,2023-02-05T08:47:35.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T08:47:35.000Z:100130
PEN-T01,01,2023-02-05T08:57:16.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T08:57:16.000Z:100180
PEN-T01,01,2023-02-05T09:09:17.000Z,2023-02-05T09:11:36.000Z,00:02:19,Informational,info,65,PEN-65,"Absence of wind during run-up",Out of Environmental Specification,01:2023-02-05T09:09:17.000Z:65
PEN-T01,01,2023-02-05T09:09:17.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T09:09:17.000Z:100070
PEN-T01,01,2023-02-05T09:11:36.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T09:11:36.000Z:100130
PEN-T01,01,2023-02-05T09:55:49.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T09:55:49.000Z:100180
PEN-T01,01,2023-02-05T09:56:52.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-05T09:56:52.000Z:100190
PEN-T01,01,2023-02-05T09:57:03.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-05T09:57:03.000Z:100200
PEN-T01,01,2023-02-05T09:57:33.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-05T09:57:33.000Z:100210
PEN-T01,01,2023-02-05T14:38:01.000Z,2023-02-05T14:38:48.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-05T14:38:01.000Z:10
PEN-T01,01,2023-02-05T14:38:01.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T14:38:01.000Z:100070
PEN-T01,01,2023-02-05T14:38:48.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T14:38:48.000Z:100130
PEN-T01,01,2023-02-05T14:55:22.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T14:55:22.000Z:100180
PEN-T01,01,2023-02-05T14:57:21.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-05T14:57:21.000Z:100190
PEN-T01,01,2023-02-05T14:57:32.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-05T14:57:32.000Z:100200
PEN-T01,01,2023-02-05T14:58:02.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-05T14:58:02.000Z:100210
PEN-T01,01,2023-02-05T15:49:27.000Z,2023-02-05T15:50:14.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-05T15:49:27.000Z:10
PEN-T01,01,2023-02-05T15:49:27.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T15:49:27.000Z:100070
PEN-T01,01,2023-02-05T15:50:14.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T15:50:14.000Z:100130
PEN-T01,01,2023-02-05T17:00:33.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T17:00:33.000Z:100180
PEN-T01,01,2023-02-05T17:02:07.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-05T17:02:07.000Z:100190
PEN-T01,01,2023-02-05T17:02:18.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-05T17:02:18.000Z:100200
PEN-T01,01,2023-02-05T17:02:48.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-05T17:02:48.000Z:100210
PEN-T01,01,2023-02-05T22:26:42.000Z,2023-02-05T22:27:29.000Z,00:00:47,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-05T22:26:42.000Z:10
PEN-T01,01,2023-02-05T22:26:42.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-05T22:26:42.000Z:100070
PEN-T01,01,2023-02-05T22:27:29.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-05T22:27:29.000Z:100130
PEN-T01,01,2023-02-05T22:36:12.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-05T22:36:12.000Z:100180
PEN-T01,01,2023-02-05T22:37:17.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-05T22:37:17.000Z:100190
PEN-T01,01,2023-02-05T22:37:28.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-05T22:37:28.000Z:100200
PEN-T01,01,2023-02-05T22:37:58.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-05T22:37:58.000Z:100210
PEN-T01,01,2023-02-06T02:38:16.000Z,2023-02-06T02:39:04.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-06T02:38:16.000Z:10
PEN-T01,01,2023-02-06T02:38:16.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-06T02:38:16.000Z:100070
PEN-T01,01,2023-02-06T02:39:04.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-06T02:39:04.000Z:100130
