# This file was exported by Greenbyte at 2025-08-13 10:49:26. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 01
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2023-02-01 00:00:00 - 2023-03-01 00:00:00 (28 days)
#
# Penmanshiel 01 Sum production: 615691 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2023-02-03 21:38:05,2023-02-17 21:24:06,335:46:01,Warning,5000,Breakdown obstacle light,,Warnings (27),Full Performance,,
2023-02-03 23:09:21,2023-02-03 23:10:08,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-03 23:09:21,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-03 23:10:08,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 23:25:06,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 23:26:32,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 23:26:43,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 23:27:13,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-03 23:36:48,2023-02-03 23:37:36,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-03 23:36:48,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-03 23:37:36,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 23:46:34,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 23:48:12,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 23:48:24,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 23:48:54,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-05 07:17:02,2023-02-05 07:17:49,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-05 07:17:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 07:17:49,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 08:42:44,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 08:44:25,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-05 08:44:36,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-05 08:45:06,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-05 08:46:47,2023-02-05 08:47:35,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-05 08:46:47,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 08:47:35,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 08:57:16,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 09:09:17,2023-02-05 09:11:36,00:02:19,Informational,65,Absence of wind during run-up,,Operating states  (28),Out of Environmental Specification,,
2023-02-05 09:09:17,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 09:11:36,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 09:55:49,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 09:56:52,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-05 09:57:03,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-05 09:57:33,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-05 14:38:01,2023-02-05 14:38:48,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-05 14:38:01,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 14:38:48,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 14:55:22,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 14:57:21,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-05 14:57:32,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-05 14:58:02,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-05 15:49:27,2023-02-05 15:50:14,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-05 15:49:27,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 15:50:14,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 17:00:33,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 17:02:07,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-05 17:02:18,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-05 17:02:48,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-05 22:26:42,2023-02-05 22:27:29,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-05 22:26:42,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-05 22:27:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-05 22:36:12,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-05 22:37:17,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-05 22:37:28,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-05 22:37:58,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-06 02:38:16,2023-02-06 02:39:04,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-06 02:38:16,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-06 02:39:04,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-06 02:45:31,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-06 02:46:50,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-06 02:47:01,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-06 02:47:31,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-06 03:59:36,2023-02-06 04:00:24,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-06 03:59:36,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-06 04:00:24,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-06 04:46:30,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-06 04:48:27,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-06 04:48:38,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-06 04:49:08,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-06 06:34:13,2023-02-06 06:35:01,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-06 06:34:13,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-06 06:35:01,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-06 06:53:47,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-06 06:55:13,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-06 06:55:24,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-06 06:55:54,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-06 07:12:03,2023-02-06 07:12:51,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-06 07:12:03,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-06 07:12:51,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-06 07:19:42,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-06 07:21:07,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-06 07:21:17,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-06 07:21:47,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-07 16:31:35,2023-02-07 16:32:22,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-07 16:31:35,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-07 16:32:22,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-07 19:01:44,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-07 19:03:04,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-07 19:03:15,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-07 19:03:45,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-07 21:54:37,2023-02-07 21:55:25,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-07 21:54:37,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-07 21:55:25,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-07 22:16:39,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-07 22:18:00,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-07 22:18:11,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-07 22:18:41,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-09 08:37:00,2023-02-09 08:54:28,00:17:28,Stop,20,Manual stop - on site,Tower displacement testing,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Preventative Maintenance,
2023-02-09 08:37:00,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2023-02-09 08:54:28,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-09 08:54:33,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-09 08:54:36,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-09 08:56:31,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-09 08:56:42,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-09 08:57:12,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-09 08:58:38,2023-02-09 08:59:50,00:01:12,Stop,20,Manual stop - on site,Tower displacement testing,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Preventative Maintenance,
2023-02-09 08:58:38,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2023-02-09 08:59:50,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-09 08:59:55,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-09 08:59:57,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-09 09:01:58,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-09 09:02:09,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-09 09:02:39,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-09 09:04:06,2023-02-09 09:04:47,00:00:41,Stop,20,Manual stop - on site,Tower displacement testing,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Preventative Maintenance,
2023-02-09 09:04:06,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2023-02-09 09:04:47,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-09 09:04:52,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-09 09:04:54,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-09 09:07:05,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-09 09:07:16,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-09 09:07:46,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-09 09:08:54,2023-02-09 09:10:19,00:01:25,Stop,20,Manual stop - on site,Tower displacement testing,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Preventative Maintenance,
2023-02-09 09:08:54,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2023-02-09 09:10:19,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-09 09:10:24,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-09 09:10:26,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-09 09:12:10,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-09 09:12:21,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-09 09:12:51,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-10 02:39:43,2023-02-10 02:40:30,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-10 02:39:43,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-10 02:40:30,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-10 02:47:13,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-10 02:48:12,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-10 02:48:23,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-10 02:48:53,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-11 08:08:02,2023-02-11 08:10:20,00:02:18,Stop,710,Battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2023-02-11 08:08:02,-,-,Informational,100030,Brake program 180,,,Technical Standby,,
2023-02-11 08:10:20,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-11 08:10:24,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-11 08:12:27,-,-,Informational,100140,System test 1,,,Technical Standby,,
2023-02-11 08:12:35,-,-,Informational,100150,System test 2,,,Technical Standby,,
2023-02-11 08:12:50,-,-,Informational,100160,System test 3,,,Technical Standby,,
2023-02-11 08:13:05,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-11 08:15:08,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-11 08:15:19,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-11 08:15:49,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-11 08:26:38,2023-02-11 08:27:26,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-11 08:26:38,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-11 08:27:26,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-11 08:30:54,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-11 08:32:16,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-11 08:32:27,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-11 08:32:57,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-11 18:46:42,2023-02-11 18:47:29,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-11 18:46:42,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-11 18:47:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-11 18:51:09,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-11 18:52:28,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-11 18:52:39,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-11 18:53:09,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-11 20:13:35,2023-02-11 20:14:23,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-11 20:13:35,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-11 20:14:23,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-11 20:20:39,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-11 20:22:03,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-11 20:22:14,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-11 20:22:44,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-11 20:23:10,2023-02-11 20:23:58,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-11 20:23:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-11 20:23:58,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-11 20:27:41,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-11 20:28:38,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-11 20:28:49,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-11 20:29:19,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-13 02:38:55,2023-02-13 02:39:43,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-13 02:38:55,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-13 02:39:43,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-13 03:31:23,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-13 03:33:31,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-13 03:33:42,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-13 03:34:12,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-13 05:13:13,2023-02-13 05:14:01,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-13 05:13:13,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-13 05:14:01,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-13 05:26:28,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-13 05:27:55,-,-,Informational,100190,Mains connection,,,Full Performance,,
